,Acadia National Park,Arches National Park,Badlands National Park,Big Bend National Park,Biscayne National Park,Black Canyon of the Gunnison National Park,Bryce Canyon National Park,Canyonlands National Park,Capitol Reef National Park,Carlsbad Caverns National Park,Congaree National Park,Crater Lake National Park,Cuyahoga Valley National Park,Death Valley National Park,Everglades National Park,Gateway Arch National Park,Glacier National Park,Grand Canyon National Park,Grand Teton National Park,Great Basin National Park,Great Sand Dunes National Park,Great Smoky Mountains National Park,Guadalupe Mountains National Park,Hot Springs National Park,Indiana Dunes National Park,Joshua Tree National Park,Kings Canyon National Park,Lassen Volcanic National Park,Mammoth Cave National Park,Mesa Verde National Park,Mount Rainier National Park,New River Gorge National Park,North Cascades National Park,Olympic National Park,Petrified Forest National Park,Pinnacles National Park,Redwood National Park,Rocky Mountain National Park,Saguaro National Park,Sequoia National Park,Shenandoah National Park,Theodore Roosevelt National Park,Voyageurs National Park,White Sands National Park,Wind Cave National Park,Yellowstone National Park,Yosemite National Park,Zion National Park,UW-Madison
Acadia National Park,0,2507,2089,2565,1797,2407,2696,2519,2584,2491,1198,3237,910,3021,1796,1450,2472,2891,2513,2776,2380,1191,2526,1771,1126,3125,3320,3194,1324,2563,3016,1016,2979,3112,2708,3357,3384,2189,2891,3283,777,1923,1501,2565,2199,2599,3100,2793,1396
Arches National Park,2503,0,716,884,2443,179,244,26,133,667,1963,914,1683,569,2404,1199,879,336,482,324,342,1696,702,1212,1371,638,868,822,1472,129,989,1786,1114,1147,311,905,1060,317,576,831,1927,903,1446,592,686,548,686,341,1301
Badlands National Park,2088,722,0,1114,2122,622,906,734,799,946,1643,1349,1187,1147,2083,879,740,1018,501,872,609,1375,981,1048,874,1243,1473,1305,1151,750,1188,1415,1151,1284,1008,1489,1495,367,1230,1435,1507,294,690,905,54,500,1211,946,701
Big Bend National Park,2565,927,1109,0,1780,831,1078,914,1011,242,1545,1766,1664,1121,1741,1120,1738,848,1299,1183,681,1391,236,830,1423,943,1333,1586,1283,802,1915,1657,2040,2073,657,1360,1777,886,602,1296,1720,1373,1682,387,1097,1328,1363,1043,1444
Biscayne National Park,1787,2446,2124,1780,0,2206,2528,2341,2523,1817,656,3250,1250,2661,49,1249,2874,2391,2526,2715,2046,845,1907,1270,1384,2614,2920,3126,1028,2230,3284,994,3285,3418,2207,2957,3374,2157,2273,2883,1003,2380,2025,1938,2168,2524,2901,2493,1560
Black Canyon of the Gunnison National Park,2408,180,621,831,2211,0,369,192,257,614,1813,1038,1588,693,2172,1049,1003,419,507,449,215,1545,649,1037,1276,762,993,947,1321,153,1114,1635,1239,1271,363,1030,1185,222,659,955,1776,861,1351,555,591,560,810,465,1202
Bryce Canyon National Park,2693,244,906,1078,2533,368,0,256,112,842,2153,851,1872,375,2494,1389,917,144,520,188,574,1885,876,1387,1561,444,674,692,1661,375,1028,1975,1153,1185,383,712,891,507,531,637,2116,1059,1611,744,856,587,519,83,1491
Canyonlands National Park,2515,26,728,871,2346,191,256,0,145,654,1975,926,1695,581,2307,1211,891,323,494,336,329,1708,689,1199,1383,650,880,834,1484,116,1001,1798,1126,1159,298,917,1072,329,563,843,1939,915,1458,579,698,560,698,353,1313
Capitol Reef National Park,2581,132,793,969,2520,256,112,144,0,752,2041,902,1760,443,2481,1277,867,246,470,238,462,1773,787,1358,1449,512,742,736,1549,260,977,1863,1102,1135,377,780,936,395,598,705,2004,980,1523,677,764,536,587,185,1379
Carlsbad Caverns National Park,2489,667,927,242,1822,613,841,654,751,0,1487,1579,1588,974,1783,1044,1521,704,1082,990,464,1334,35,772,1347,793,1183,1439,1226,543,1655,1599,1780,1812,520,1210,1627,669,451,1146,1662,1198,1606,181,944,1111,1213,806,1371
