,UW-Madison
Acadia National Park,77996
Arches National Park,69258
Badlands National Park,36345
Big Bend National Park,76598
Biscayne National Park,81427
Black Canyon of the Gunnison National Park,67103
Bryce Canyon National Park,80968
Canyonlands National Park,70097
Capitol Reef National Park,73523
Carlsbad Caverns National Park,73646
Congaree National Park,52402
Crater Lake National Park,110249
Cuyahoga Valley National Park,27117
Death Valley National Park,95774
Everglades National Park,79115
Gateway Arch National Park,19014
Glacier National Park,74002
Grand Canyon National Park,88508
Grand Teton National Park,67350
Great Basin National Park,84222
Great Sand Dunes National Park,61877
Great Smoky Mountains National Park,39559
Guadalupe Mountains National Park,75650
Hot Springs National Park,40991
Indiana Dunes National Park,10481
Joshua Tree National Park,100222
Kings Canyon National Park,113054
Lassen Volcanic National Park,106336
Mammoth Cave National Park,29534
Mesa Verde National Park,74204
Mount Rainier National Park,101302
New River Gorge National Park,38932
North Cascades National Park,101023
Olympic National Park,106996
Petrified Forest National Park,81225
Pinnacles National Park,115566
Redwood National Park,120119
Rocky Mountain National Park,53772
Saguaro National Park,92125
Sequoia National Park,111043
Shenandoah National Park,45960
Theodore Roosevelt National Park,43222
Voyageurs National Park,26917
White Sands National Park,75042
Wind Cave National Park,42740
Yellowstone National Park,65128
Yosemite National Park,102214
Zion National Park,84374
