park name,location,entrance fee,lodging,est. length of stay,gas price
Acadia,"Maine
44°21′N68°13′W﻿ / ﻿44.35°N 68.21°W﻿ / 44.35; -68.21﻿ (Acadia)",30.00,250,4,4.6
Arches,"Utah
38°41′N109°34′W﻿ / ﻿38.68°N 109.57°W﻿ / 38.68; -109.57﻿ (Arches)",30.00,59,2,4.87
Badlands,"South Dakota
43°45′N102°30′W﻿ / ﻿43.75°N 102.50°W﻿ / 43.75; -102.50﻿ (Badlands)",30.00,85,2,4.27
Big Bend,"Texas
29°15′N103°15′W﻿ / ﻿29.25°N 103.25°W﻿ / 29.25; -103.25﻿ (Big Bend)",30.00,145,4,3.78
Biscayne,"Florida
25°39′N80°05′W﻿ / ﻿25.65°N 80.08°W﻿ / 25.65; -80.08﻿ (Biscayne)",0.00,66,2,4
Black Canyon of the Gunnison,"Colorado
38°34′N107°43′W﻿ / ﻿38.57°N 107.72°W﻿ / 38.57; -107.72﻿ (Black Canyon of 
the Gunnison)",30.00,80,1,4.51
Bryce Canyon,"Utah
37°34′N112°11′W﻿ / ﻿37.57°N 112.18°W﻿ / 37.57; -112.18﻿ (Bryce Canyon)",35.00,90,2,4.87
Canyonlands,"Utah
38°12′N109°56′W﻿ / ﻿38.2°N 109.93°W﻿ / 38.2; -109.93﻿ (Canyonlands)",30.00,61,2,4.87
Capitol Reef,"Utah
38°12′N111°10′W﻿ / ﻿38.20°N 111.17°W﻿ / 38.20; -111.17﻿ (Capitol Reef)",20.00,109,2,4.87
Carlsbad Caverns,"New Mexico
32°10′N104°26′W﻿ / ﻿32.17°N 104.44°W﻿ / 32.17; -104.44﻿ (Carlsbad Caverns)",60.00,76,1,4.06
Congaree,"South Carolina
33°47′N80°47′W﻿ / ﻿33.78°N 80.78°W﻿ / 33.78; -80.78﻿ (Congaree)",0.00,71,1,3.79
Crater Lake,"Oregon
42°56′N122°06′W﻿ / ﻿42.94°N 122.1°W﻿ / 42.94; -122.1﻿ (Crater Lake)",30.00,105,2,5.11
Cuyahoga Valley,"Ohio
41°14′N81°33′W﻿ / ﻿41.24°N 81.55°W﻿ / 41.24; -81.55﻿ (Cuyahoga Valley)",0.00,59,2,4.04
Death Valley,"California, Nevada
36°14′N116°49′W﻿ / ﻿36.24°N 116.82°W﻿ / 36.24; -116.82﻿ (Death Valley)",30.00,48,2,5.66
Everglades,"Florida
25°19′N80°56′W﻿ / ﻿25.32°N 80.93°W﻿ / 25.32; -80.93﻿ (Everglades)",30.00,121,2,4
Gateway Arch,"Missouri
38°38′N90°11′W﻿ / ﻿38.63°N 90.19°W﻿ / 38.63; -90.19﻿ (Gateway Arch)",0.00,104,1,3.94
Glacier,"Montana
48°48′N114°00′W﻿ / ﻿48.80°N 114.00°W﻿ / 48.80; -114.00﻿ (Glacier)",35.00,210,10,4.53
Grand Canyon,"Arizona
36°04′N112°08′W﻿ / ﻿36.06°N 112.14°W﻿ / 36.06; -112.14﻿ (Grand Canyon)",35.00,164,4,4.59
Grand Teton,"Wyoming
43°44′N110°48′W﻿ / ﻿43.73°N 110.80°W﻿ / 43.73; -110.80﻿ (Grand Teton)",35.00,110,4,4.48
